Article Title,Authors,Journal Name,Year,Volume,Issue
"MARTYNIA ANNUNA LINN. : A TRADITIONAL DRUG FOR ASTHMA, ITCH AND ECZEMA",,,,,
"NEW RECORDS TO THE MEDICAL EFFICACY CLAIMS OF CERTAIN PLANTS RECORDED FROM GWALIOR FOREST CIRCLE, MADHYA PRADESH - A PRELIMINARY CONTRIBUTION",,,,,
NOTES ON THE DISTRIBUTION OF SOME MEDICINAL PLANTS IN THE SOUTHERN CIRCLE OF WEST BENGAL FORESTS,,,,,
PHARMACOGNOSTIC STUDIES ON BARLERIA LINN,,,,,
PHARMACOGNOSTIC STUDY OF JATROPHA STEM BARK,,,,,
PHARMACOGNOSTICAL AND PHYTO-CHEMICAL STANDARDISATION OF BERRIES OF MYRTUS COMMUNIS LINN. (HABUL AAS),"1. S.H. Afaq, 2. A.R. Masoodi, 3. M. Tariq, 4. M. Ahmed.",Bulletin of Medico-Ethno-Botanical Research,1981,2,4
A REVIEW OF VEGETABLE CARDIO-VASCULAR TONIC DRUGS AS PRACTICED SINCE ANCIENT TIME IN INDIA.,,,,,
A STUDY OF UNUSUAL NEEM EXUDATES,,,,,
AMINO ACIDS PROFILE IN SOLANUM JASMINOIDES PAXT.,,,,,
ANALYTICAL VALUES OF SARCOSTEMMA ACIDUM AND CEROPEGIA JUNCEA THE SOMA PLANTS IN AYURVEDA.,,,,,
CHEMICAL COMPONENTS OF THE FLOWERS OF INULA CAPPA DC,,,,,
CHEMICAL CONSTITUENTS FROM AGYNEIA BACCIFORMIS A. JUSS.,,,,,
CHEMICAL EXAMINATION OF ADENANTHERA PAVONINA LINN. ROOTS,,,,,
COMPARATIVE PHARMACOGNOSTICAL STUDIES ON POLYGONATUM VERTICILLATUM ALLIONI AND POLYGONATUM CIRRIFOLIUM ROYLE,,,,,
EFFECT OF AUXINS ON GROWHT AND MULTIPLICATION OF CORMS AND FLOWERING IN CROCUS SATIVUS LINN. (KESHAR),,,,,
ETHNO MEDICAL METHODS OF KORKU TRIBES OF WEST MELGHAT,"1. P.D. Badhe, 2. B.N. Sharma.",Bulletin of Medico-Ethno-Botanical Research,1982,3,2-4
ETHNO-BOTANICAL STUDIES IN THE SILENT VALLEY AND THE ADJOINING AREAS.,,,,,
EXAMINATION OF SUGARS IN THE MUCILAGE OF SEEDS OF LEPIDIUM SATIVUM LINN.,,,,,
NEW DERIVATIVES OF EMBELIN AND A NEW METHOD OF PREPARING EMBELIN DIACETATE,,,,,
NUTRITIONAL VALUE OF SHIGRU (MORINGA OLEIFERA LAM.),,,,,
OCCURRENCE OF HITHER TO UNRECORDED MANGANESE IN MOMORDICA CHARANTIA LINN (KARAVELLA),,,,,
"ORAL CONTRACEPTIVE FOLK-CLAIMS FROM PURI DISTRICT, ORISSA",,,,,
PHARMACOGNOSTIC EVALUATION OF ROOT BARK OF EMBLICA OFFICINALIS GAERTN. (EUPHORBIACEAE).,,,,,
PHARMACOGNOSTIC STUDIES ON MERUGAN KIZHANGU,,,,,
PHARMACOGNOSTICAL STUDIES ON THE LEAF OF CLERODENDRUM INFORTUNATUM LINN.,,,,,
PHARMACOGNOSTICAL STUDIES ON THE ROOT OF VIBURNUM NERVOSUM HOOK,"A.K. Wahi, R.L. Khosa, Yogesh Mohan.",Bulletin of Medico-Ethno-Botanical Research,1982,3,2-4
PHYTOCHEMICAL STUDY OF ARGYREIA SPECIOSA SWEET VRIDHADARU,,,,,
SOME INDIGENOUS METHODS FOR TAPPING OF GUM GUGGULU-A PILOT STUDY.,,,,,
SOME MEDICINAL FERMS FORM SOUTH ANDAMAN ISLAND,,,,,
"SOME MEDICINAL PLANTS OF RUDRANATH BUGYAL (DISTT. CHAMOLI), U.P.",,,,,
STUDIES ON THE OCCURRENCE OF MEDICINAL PLANTS OF EUPHORBIACEAE FROM BHOPAL AND ITS NEIGHBOURHOOD,,,,,
STUDIES ON THE STANDARDISATION OF AVALEHAS PART-I NARIKELA KHANDA & KANTAKARYAVALEHA.,,,,,
"THE CYPERACEAE OF GWALIOR FOREST DIVISION, MADHYA PRADESH-I",,,,,
"TRIAL CULTIVATION OF TRIVRIT (NISOTH) IPOMOEA TURPETHUM R. BR. IN SOILS OF BUNDELKHAND-JHANSI, UP",,,,,
A NOTE ON THE STUDY OF THE MARKET SAMPLE OF SWERTIA CHIRATA BUCH. HAM. EX. WALL.,,,,,
A SURVEY OF HIGH ALTITUDE MEDICINAL PLANTS OF GARHWAL HIMALAYA,"1. R. D. Gaur, 2. J.K. Semwal, 3. J.K. Tiwari.",Bulletin of Medico-Ethno-Botanical Research,1983,4,3-4
ALKALOIDS FROM AGARU,,,,,
ANALYSIS OF THE FAT FROM THE ROOT OF HETEROPHRAGMA QUADRILOCULARE (ROXB.) SCHUM.,,,,,
ANTIBACTERIAL AND ANTIFUNGAL STUDY OF SOME ESSENTIAL OILS & THEIR CONSTITUTETS FORMTHE PLANTS OF KUMAON AND ITS TARAI TRACT,,,,,
CHEMICAL CONSTITUENTS OF SCOPARIA DULCIS LINN.,,,,,
CHEMICAL EXAMINATION OF DENDROPHTHOE ELASTICA DANSER,,,,,
CHEMICAL EXAMINATION OF JATROPHA GLANDULIFERA,,,,,
CHEMICAL EXAMINATION OF OLAX SCANDENS ROXB,,,,,
CHEMICAL INVESTIGATION OF THE PETALS OF NELUMBO NUCIFERA (LOTUS),,,,,
CHEMICAL STUDY OF STROBILANTHES CALLOSUS,,,,,
CHROMATOGRAPHIC STUDIES ON ESSENTIAL OIL OF CYATHOCLINE LYRATA CASS,"Rajendra Shrivastava, B.D. Pate.",Bulletin of Medico-Ethno-Botanical Research,1983,4,1-2
FLAVONE CONSTITUENTS OF LINARIA RAMOSISSIMA WALL,,,,,
LOW ALTITUDE MEDICINAL PLANTS OF SOUTH GARHWAL (GARHWAL HIMALAYA),,,,,
MEDICINAL PLANTS OF TEZPUR (ASSAM),,,,,
OCCURRENCE OF LICARIN-B IN THE ARIL OF MYRISTICA MALABARICA LAM. (MYRISTICACEAE),,,,,
ON THE MICROSCOPIC STUDIES OF AGLAIA ROXBURGHIANA MIQ. FRUITS,,,,,
PHARMACOGNOSTIC STUDIES ON THE LEAVES OF CAESALPINIA CRISTA LINN.,,,,,
ROLE OF WEEDS IN AYURVEDIC MEDICINE,,,,,
SOME FOLKLORE MEDICINE FROM DISTRICT SUBANSIRI OF ARUNACHAL PRADESH,,,,,
STANDARDIZATION OF DHANVANTARA GHRTA,,,,,
STUDIES ON AUTHENTIC SILAJAT SAMPLES,"1. Muzaffer Alam, 2. B. Rukmani, 3. S. Usman Ali, 3. K. K. Purushothaman.",Bulletin of Medico-Ethno-Botanical Research,1983,4,1-2
STUDY OF NON-SAPONIFIABLE PRINCIPLES FROM THE LEAVES OF BRUNELLA VULGARIS LINN.,,,,,
TERPENOIDS OF STREBLUS ASPER LOUR. (MORACEAE),,,,,
"MINNIKIZHANGU-AN UNIQUE FOLK MEDICINAL PLANT FORM THE ADIVASIS (TRIBALS) OF POINT CALIMERE, TAMIL NADU",,,,,
A COMPARATIVE PHARMACOGNOSTIC STUDY OF THE FOUR SPECIES OF GENUS DESMODIUM,,,,,
ADDITION TO THE PHARMACOGNOSY OF KALIMUSLI (CURCULIGO ORCHIOIDES GAERTN): RHIZOME,,,,,
CHEMICAL ANALYSIS OF INDUCED MUTANTS OF FENUGREEK OIL AND DIOSGENIN CONTENTS,,,,,
CHEMICAL EXAMINATION OF GENIOSPORUM PROSTRATUM BENTH.,,,,,
CHEMICAL EXAMINATION OF THE GLYCERIDE CONTENTS OF THE ROOTS OF BARLERIA PRIONITIS LINN.,,,,,
